company_name,industry,location,partners,person_quoted,product_url
Heineken Mexico,Food and Beverage,Mexico,"['Sixbell', 'Tethr It Now']","Edgar Muñoz Hernández, Head of Analytics and Support, Heineken Mexico",https://www.genesys.com/customer-stories/heineken-mexico/
Virgin Atlantic,Airline,UK with global operations,,"Louise Phillips, VP Customer Centers, Virgin Atlantic",https://www.genesys.com/customer-stories/virgin-atlantic/
O2E Brands,Home services,Canada,,"Michael Downing, Vice President, Business Operations, O2E Brands",https://www.genesys.com/customer-stories/o2e-brands/
BAC,Financial services,Central America,['ESMT'],"Cinthya Moreno Gómez, Service Channels Corporate Director, BAC",https://www.genesys.com/customer-stories/bac/
Grupo Sabin,Healthcare,Brazil,['InvenIT'],"Neilton Alves, Project Analyst, Grupo Sabin",https://www.genesys.com/customer-stories/grupo-sabin/
Beyond Bank,Financial services,Australia,['QPC'],"Brent Alexander, National Manager, Customer Relationship Center, Beyond Bank",https://www.genesys.com/customer-stories/beyond-bank/
Independent Health,Healthcare,US,['Call Journey'],"Amanda Prell, Director, Contact Center Experience, Independent Health",https://www.genesys.com/customer-stories/independent-health/
Narayana Health,Healthcare,India,"['Tata Communications', 'Salesforce']","Kumar KV, Group Chief Information Officer, Narayana Health",https://www.genesys.com/customer-stories/narayana-health/
ACEA,Utilities,Italy,,"Ivan Vigolo, Group Chief Innovation & Information Officer, ACEA",https://www.genesys.com/customer-stories/acea/
Prvidr,Software,Australia,,"Lawrence Drayton, Head of Customer Experience, Prvidr",https://www.genesys.com/customer-stories/prvidr/
,,,,,https://www.genesys.com/customer-stories/kiwi-com/
Nuuday,Telco/IT service provider,Denmark,['Netdesign'],"Michael Stinner, Head of CX Operations, Nuuday",https://www.genesys.com/customer-stories/nuuday/
The Trevor Project,Nonprofit,US,,"Peggy Rajski (she/her), Co-Founder and Interim CEO, The Trevor Project",https://www.genesys.com/customer-stories/the-trevor-project/
JPIMedia,Marketing and advertising,UK,['Kerv'],"Rebekah Avill, Head of Commercial Systems, JPIMedia",https://www.genesys.com/customer-stories/jpimedia/
Co-op Group,Retail,United Kingdom,['IPI'],"Claire Carroll, Head of Sales and Service, Co-op Group",https://www.genesys.com/customer-stories/co-op-group/
Universidad Tecnologica de México (UNITEC),Education,Mexico,,"Leandro Cruz Hernández, Digital Director and Customer Experience, UNITEC",https://www.genesys.com/customer-stories/unitec/
Cegid,SaaS solutions,"France, with global operations",,"Thierry Galvagni, CIO, Cegid",https://www.genesys.com/customer-stories/cegid/
,,,,,https://www.genesys.com/customer-stories/lolivier/
Graphic Solutions Group (GSG),Graphics equipment and consumables,US,['Mediu'],"Lauren Forte, Director of Inside Sales, Graphic Solutions Group",https://www.genesys.com/customer-stories/gsg/
Inter,Financial Services,Brazil,,"João Marcus Santos, IT Manager, Inter",https://www.genesys.com/customer-stories/inter/
Utility Warehouse,Home services and utilities,UK,,"Samit Patel, Head of Portfolio, Utility Warehouse",https://www.genesys.com/customer-stories/utility-warehouse/
Anglicare Sydney,Non-profit,Australia,"['QPC', 'Call Journey']","Roy Hazelwood, Contact Center Manager, Anglicare Sydney",https://www.genesys.com/customer-stories/anglicare-sydney/
,,,,,https://www.genesys.com/customer-stories/ignite-travel-group/
Auto Trader,Automotive,UK,"['PCI Pal', 'PureInsights', 'Zendesk']","Mike Braid, Head of Enterprise IT, Auto Trader",https://www.genesys.com/customer-stories/auto-trader/
SITA,Air transportation,Global,,"Vichaig Douangpaseuth, Senior Manager, Service Improvement SDN Network and Voice Practice, SITA",https://www.genesys.com/customer-stories/sita/
TOT Public Company Limited,Telecommunications,Thailand,,,https://www.genesys.com/customer-stories/tot-public-company-limited/
APM,Human resources,Australia,['Customer Driven'],"Michael McBride, General Manager, Customer Service Center, APM",https://www.genesys.com/customer-stories/apm/
Siemens Healthineers,Healthcare and life sciences,Germany with global operations,['Cognizant'],"Jochen Hostalka, Senior Vice President IT, Siemens Healthineers",https://www.genesys.com/customer-stories/siemens-healthineers/
PureGym,Health and fitness,UK and international,['Kerv'],"Scott Adams, Member Services Manager, PureGym",https://www.genesys.com/customer-stories/puregym/
,,,,,https://www.genesys.com/customer-stories/bbva-argentina/
Westpac New Zealand,Financial services,New Zealand,,"Jason Lock, Head of Contact Centers, Westpac NZ",https://www.genesys.com/customer-stories/westpac/
,,,,,https://www.genesys.com/customer-stories/dutch-lottery/
Modivcare,Healthcare,US,['Amazon Web Services'],"Heath Sampson, President & CEO, Modivcare",https://www.genesys.com/customer-stories/modivcare/
Rabobank,Financial services,The Netherlands with global operations,"['24sessions', 'Microsoft']","Thom Kokhuis, Head of Conversational Banking, Rabobank",https://www.genesys.com/customer-stories/rabobank/
Field Management Ireland,Business process outsourcer,Ireland,,"Rosemary Wynne, Digital Marketing Director, Field Management Ireland",https://www.genesys.com/customer-stories/field-management-ireland/
Northumbrian Water Limited,Utilities,UK,['Connect'],"David Halliday, IS Product Manager, Northumbrian Water Limited",https://www.genesys.com/customer-stories/northumbrian-water/
Fanatics,Retail,US with global operations,,"Nigel Ponds, Senior Director, Global Resource Planning and Telephony , Fanatics, Inc.",https://www.genesys.com/customer-stories/fanatics/
TSB Bank Limited,Financial services,New Zealand,,"Lisa Macnee, Head of Digital and Customer Engagement Center, TSB Bank Ltd",https://www.genesys.com/customer-stories/tsb-bank/
National Domestic Violence Hotline,Nonprofit,US,"['AWS', 'PureInsights']","Marty Hand, CTO, The Hotline",https://www.genesys.com/customer-stories/national-domestic-violence-hotline/
Brighton & Hove Albion Football Club,Sports and entertainment,UK,['Kerv'],"Brian Kearney, Digital Systems Project Manager, Brighton & Hove Albion Football Club",https://www.genesys.com/customer-stories/brighton-and-hove-albion-football-club/
Farmers Mutual Group (FMG),Insurance,New Zealand,"['Avtex', 'Microsoft']","Matt Harvey, Head of National Advice and Service Center, FMG",https://www.genesys.com/customer-stories/farmers-mutual-group/
FCT,Real estate tech and title insurance,Canada,,"Pat Smolak, Director Operations, Residential Solutions, FCT",https://www.genesys.com/customer-stories/fct/
Nexon Asia Pacific,IT and services,Australia,,"Malcolm Green, Senior Contact Center Engineer, Nexon",https://www.genesys.com/customer-stories/nexon-asia-pacific/
FirstCare,Human Resource management,UK,,"John Coyne, Head of IT, Data and Compliance, FirstCare",https://www.genesys.com/customer-stories/firstcare/
Multilaser,Manufacturing and retail,Brazil,['Survey Dynamix'],"Leonardo Castilho, Head eCommerce, After-sales and Digital Marketing, Multilaser",https://www.genesys.com/customer-stories/multilaser/
AdaptHealth,Healthcare,US,,"Bill Lewis, Senior Director, Infrastructure and Security Engineering, AdaptHealth",https://www.genesys.com/customer-stories/adapthealth/
City of Clearwater (Utility Customer Service Division),Government,US,,"Amy Sessions, Customer Service Division Manager, City of Clearwater",https://www.genesys.com/customer-stories/city-of-clearwater/
Benify,HR technology,Sweden and global operations,['Salesforce'],"Philip Hagenfeldt, Commercial System Lead, Benify",https://www.genesys.com/customer-stories/benify/
ConTe.it,Insurance,Italy,,"Francesco Del Gallo, Product Manager, ConTe.it",https://www.genesys.com/customer-stories/conte-it/
Fonterra,Dairy processing and nutrition,New Zealand and global,['Pyrios'],"Melanie Tuck, Manager, Farm Source Service Center, Fonterra",https://www.genesys.com/customer-stories/fonterra/
King Price Insurance,Financial services,South Africa,['Connect'],"Bianca Nel, Product Owner, King Price Insurance",https://www.genesys.com/customer-stories/king-price-insurance/
Service NSW,Government,Australia,,"Sue Ferguson, Director of Contact Centers, Service NSW",https://www.genesys.com/customer-stories/service-nsw/
RedSalud,Healthcare,Chile,,"Juan Neme, Digital Patient Services Manager, RedSalud",https://www.genesys.com/customer-stories/redsalud/
CarGarantie Courtage SARL,Insurance broker and service provider,France,['Deliberate'],"Christoph Schuler, Head of Operations, CarGarantie Courtage SARL",https://www.genesys.com/customer-stories/cargarantie/
Bitkub Exchange,Blockchain and cryptocurrency,Thailand,,"Chantika Chomchome, Deputy CEO and Chief People Officer, Bitkub Exchange",https://www.genesys.com/customer-stories/bitkub-exchange/
Dental Axess,Healthcare,"Switzerland, with global operations",['TechneValue'],"Patricia Zoller, Marketing Manager, Dental Axess",https://www.genesys.com/customer-stories/dental-axess/
Bedfordshire Pilgrim Housing Association (BPHA),Housing provider and developer,UK,['Email Wizard'],"Lianne Martindale, Communications Center Manager, BPHA",https://www.genesys.com/customer-stories/bpha/
Odity,Customer relations,Global,,"Clément Polet, Deputy CEO Business, Odity",https://www.genesys.com/customer-stories/odity/
Maxicare,Healthcare,Philippines,,"Christian Argos, CEO, Maxicare",https://www.genesys.com/customer-stories/maxicare/
Aeroporti di Roma,Travel,Italy,['ComApp'],"Marco Dottore, Head of Network and Infrastructure Project Management, Aeroporti di Roma",https://www.genesys.com/customer-stories/aeroporti-di-roma/
Alight Solutions,IT services,US,,"Robin Vallango, Vice President, Customer Care Technology, Alight Solutions",https://www.genesys.com/customer-stories/alight-solutions/
Paul Hartmann AG,International manufacturer of medical and hygiene products,"Heidenheim an der Brenz, Swabia, Germany",['Deliberate'],"Project Manager, Paul Hartmann AG",https://www.genesys.com/customer-stories/paul-hartmann/
Digital Dialog GmbH,Contact center services,Germany,['VR Voice'],"Corinna Kaussen, Authorized Signatory, Digital Dialog GmbH",https://www.genesys.com/customer-stories/digital-dialog/
Round Room,Retail,US,,"Ryan Ervin, Senior Director, Customers for Life, TCC Round Room",https://www.genesys.com/customer-stories/round-room/
,Financial,Chile,,"Mauricio Reyes Figueroa, Digital Development and Data Strategy Manager, Seyco",https://www.genesys.com/customer-stories/seyco/
Western Governors University,Education,US,,"Adam Davis, Vice President of Operations, Western Governors University",https://www.genesys.com/customer-stories/western-governors-university/
BetFlag,Online gambling,Italy,['TechneValue'],"Domenico Galizia, CEO, BetFlag",https://www.genesys.com/customer-stories/betflag/
Bankaya,Financial services,Mexico,['Crossnet'],"Adrian Soria, Collections Manager, Bankaya",https://www.genesys.com/customer-stories/bankaya/
SV Gruppe,Media and digital services,Germany,['infinit.cx'],"Manuela Lüdke, Managing Director, SV Dialog GmbH & Co. KG",https://www.genesys.com/customer-stories/sv-gruppe/
eFinancial,Insurance,U.S.,,"Paul Bourdeaux, Chief Information Officer, Vericity (Fidelity Life Association and eFinancial)",https://www.genesys.com/customer-stories/efinancial/
Grupo Vanti,Energy,Colombia,"['Google Cloud', 'Global Network Solutions']","Rolando Bermúdez, Manager of Implementation and Customer Support, Grupo Vanti",https://www.genesys.com/customer-stories/grupo-vanti/
Aeromexico,Airline,Mexico,"['Salesforce', 'Pureinsights', 'Kranon']","Angelina Griselda Stankiewicz Chávez, Senior Contact Center Manager, Aeromexico",https://www.genesys.com/customer-stories/aeromexico/
IONOS,IT services,Germany with global operations,,"Carolin Raezer, Head of Strategy and Innovation, IONOS",https://www.genesys.com/customer-stories/ionos/
BancoEstado,Financial services,Chile,,"Luis Chávez Tuesta, Head of Software and Product Development, BancoEstado",https://www.genesys.com/customer-stories/bancoestado/
American Heart Association,Nonprofit,U.S.,,"Chip Sugrue, VP Customer Strategies, American Heart Association",https://www.genesys.com/customer-stories/american-heart-association/
,Insurance,Australia,"['Telstra', 'CVT']","Sheridan Francis, Manager, Regional Operations Center, Aioi Nissay Dowa Insurance Company Australia",https://www.genesys.com/customer-stories/aioi-nissay-dowa-insurance/
Pluxee,Human resources,France with global operations,,"Thibault Guerard, VP of Customer Experience and Care, Pluxee",https://www.genesys.com/customer-stories/pluxee/
Company Nurse,Healthcare,US,['Brightmetrics'],"Henry Svendblad, CTO, Company Nurse",https://www.genesys.com/customer-stories/company-nurse/
Woolworths Finance Shared Services,Financial Services,Australia,,"Robert Fellowes, Customer Focused Transactions Services Lead, Woolworths",https://www.genesys.com/customer-stories/woolworths-finance-shared-services/
Arvato CRM Solutions,Customer Services and Business Process Outsourcing,UK,['Kerv'],"Gordon Dalgleish, Head of IT Solutions, Arvato CRM Solutions",https://www.genesys.com/customer-stories/arvato/
,,,,,https://www.genesys.com/customer-stories/quinstreet/
Conrad Electronic SE,Electronics and technology retailer,Germany,['NTT'],"Günther Oberhofer, Director IT Communication and Networks, Conrad Electronic",https://www.genesys.com/customer-stories/conrad-electronic/
Maximus,Business process outsourcer,US with global operations,['Amazon Web Services'],"Angela Kovach, Vice President of Cloud Technology, Maximus",https://www.genesys.com/customer-stories/maximus/
,,,,,https://www.genesys.com/customer-stories/rose-hulman-institute-of-technology-askrose-homework-help/
Ethiopian Airlines,Aviation and travel,Ethiopia,,"Getinet Tadesse, CIO, Ethiopian Airlines",https://www.genesys.com/customer-stories/ethiopian-airlines/
Kiwibank,Financial services,New Zealand,"['Spark NZ', 'AWS']","Emma Noble-Beasley, General Manager Contact Center, Kiwibank",https://www.genesys.com/customer-stories/kiwibank/
,,,,,https://www.genesys.com/customer-stories/rapid-financial-solutions/
,,,,,https://www.genesys.com/customer-stories/feros-care/
Coca-Cola Bottlers’ Sales and Services,Beverage manufacturer/retailer,US,"['Help Lightning', 'Mindful Feedback', 'PCI Pal', 'Salesforce']","Nicole Thomas, VP, Customer Care Center, Coca-Cola Bottlers’ Sales and Services",https://www.genesys.com/customer-stories/coca-cola-bottlers-sales-and-services/
PATLive,Business process outsourcing,US,,"Jackie Gonzalez, Vice President, Operations, PATLive",https://www.genesys.com/customer-stories/patlive/
Humm Group,Fintech,Australasia,['Datacom'],"Andrew Murrell, Chief Operations Officer, Humm Group",https://www.genesys.com/customer-stories/humm-group/
Telefoonaanname.nl,Business process outsourcing,Netherlands,,"Edwin Smit, Co-founder and Owner, Telefoonaanname.nl",https://www.genesys.com/customer-stories/telefoonaanname-nl/
Localsearch,Digital marketing,Australia,,"Gary Mandelkow, Chief Technology Officer, Localsearch",https://www.genesys.com/customer-stories/localsearch/
,,,,,https://www.genesys.com/customer-stories/diabetes-victoria/
,,,,,https://www.genesys.com/customer-stories/actavo/
Legrand,Industrial,"France, with global operations",,"David Gonzalez, Customer Relations Center Manager, Legrand France",https://www.genesys.com/customer-stories/legrand/
Pluxee Romania,Employee engagement solutions,Romania,,"Andreea Coca, CX and Quality Manager, Pluxee Romania",https://www.genesys.com/customer-stories/pluxee-romania/
Uplift Inc.,Travel fintech,US,['InflowCX'],"Chrissy Vining, Director of Customer Success, Uplift",https://www.genesys.com/customer-stories/uplift/
Security Bank,Financial,Philippines,,"Lucose Eralil, Head of Enterprise Technology and Operations",https://www.genesys.com/customer-stories/security-bank/
DKV Euro Service GmbH & Co. KG,Transportation,Germany,['VR Voice GmbH'],"Robert Trojan, Team Manager Workplace and Network Services, DKV Euro Service",https://www.genesys.com/customer-stories/dkv/
Fremtind Service,Government (Transportation),Norway,,"Richard Vogt, Operations Manager, Fremtind Service",https://www.genesys.com/customer-stories/fremtind-service/
,,,,,https://www.genesys.com/customer-stories/nahdi-medical-company/
Stanley Steemer,Cleaning services,US,,"John Parente, Director of Contact Center Operations, Stanley Steemer",https://www.genesys.com/customer-stories/stanley-steemer/
Eesti Energia (also known as Enefit),Energy,"Estonia, Latvia, Lithuania, Poland and Finland",['Adventus Solutions'],"Kaido Kabral, Customer Service Solution Expert, Eesti Energia",https://www.genesys.com/customer-stories/eesti-energia/
3 Denmark,Telecommunications,Denmark,['Advania'],"Jonas Kristensen, Business Optimisation Manager, 3 Denmark",https://www.genesys.com/customer-stories/3-denmark/
,Food delivery,Thailand,,"Preeyapat Rujum, Head of Customer Fulfillment, Purple Ventures Limited",https://www.genesys.com/customer-stories/robinhood/
Atomy,Retail,South Korea,,"SungHoon Choi, IT Manager , Atomy",https://www.genesys.com/customer-stories/atomy/
,,,,,https://www.genesys.com/customer-stories/vivonet/
Sage France,Business software,France with global operations,['eMite'],"Fabien Borras, Director Customer Operations, Tools, Data and Service, Sage France",https://www.genesys.com/customer-stories/sage-france/
Cathay Pacific,Travel and aviation,Hong Kong,"['Accenture', 'Google Cloud']","Kenneth Lee, General Manager, IT Solutions, Cathay Pacific",https://www.genesys.com/customer-stories/cathay-pacific/
Housing Direct,Local government,Australia,['Datacom'],"Tracy Thompson, Manager, Housing Direct",https://www.genesys.com/customer-stories/housing-direct/
Ilumno,Education,Colombia,['CrossNet'],"Jaume Cascales Muñoz, Director of IT Operations, Ilumno",https://www.genesys.com/customer-stories/ilumno/
Twiddy & Company,Property rental,United States,,"Blake Stockslager, CIO, Twiddy & Company",https://www.genesys.com/customer-stories/twiddy-company/
CallPageboy,Business process outsourcer,Ireland,,"Ken Colley, Managing Director, CallPageboy",https://www.genesys.com/customer-stories/callpageboy/
"Edenred Brazil — Ticket Log, Repom and Edenred Pay brands",Payment services,Brazil,"['Alctel', 'IBM']","Jéssica Mallach, Continual Improvement Coordinator, Ticket Log",https://www.genesys.com/customer-stories/edenred-brazil/
Blibli,eCommerce,Indonesia,,"Shanty Cantya, Vice President of Customer Management, Blibli",https://www.genesys.com/customer-stories/blibli/
Lyreco,Retail,"France, with global operations",,"Nelson Oliveira, Product Owner, Customer Care, Lyreco",https://www.genesys.com/customer-stories/lyreco-group/
Lighthouse Works,Business process outsourcing,US,,"Kyle Johnson, President and Chief Executive Officer, Lighthouse Works",https://www.genesys.com/customer-stories/lighthouse-works/
Electrolux Group,Manufacturing and retail,Sweden and global,['Google Cloud'],"Mateusz Jazdzewski, Head of IT Consumer Solutions and Head of CX Product at Electrolux Group, Electrolux Group",https://www.genesys.com/customer-stories/electrolux-group/
eco24,Debt consulting,Germany,['Deliberate'],"Hans-Jörg Fadda, Managing Director, eco24",https://www.genesys.com/customer-stories/eco24/
,,,,,https://www.genesys.com/customer-stories/sureway/
Spark,Telecommunications,New Zealand,,"James Palmer-Dale, Chapter Lead of Customer Engagement Solutions, Spark",https://www.genesys.com/customer-stories/spark/
B&O Service,Housing,Germany,['Deliberate'],"Christoph Otto, Head of IT Infrastructure and Service, B&O Service",https://www.genesys.com/customer-stories/bo-service/
TechStyleOS,Retail,US and global,['Amazon Web Services'],"Jack Roberts, Director, GMS Technology and Applications , TechStyleOS",https://www.genesys.com/customer-stories/techstyleos/
Deutsche Glasfaser,Telecommunications,"Borken, Germany",,"Peter Basse, Head of Workforce Management, Deutsche Glasfaser Wholesale GmbH",https://www.genesys.com/customer-stories/deutsche-glasfaser/
CarTrawler,Travel,Ireland,['DigitalWell'],"James Waghorn, Director, Customer Contact, CarTrawler",https://www.genesys.com/customer-stories/cartrawler/
,Government,US,['Google Cloud'],"Nichole Conway, Program Manager, Missouri Department of Social Services",https://www.genesys.com/customer-stories/missouri-department-of-social-services/
Carestream Dental,Healthcare,US,['eMite'],"Brian Harris, Director, Americas Remote Support, Carestream Dental",https://www.genesys.com/customer-stories/carestream-dental/
Edenred Mexico,Prepaid services,Mexico,,"Aurelie Bagard, Director of Distant Sales, Edenred Mexico",https://www.genesys.com/customer-stories/edenred/
Leroy Merlin,Retail,Europe,['Bizmatica'],"Edoardo Messinese, IT Manager, Sales and Marketing, Leroy Merlin",https://www.genesys.com/customer-stories/leroy-merlin/
O.phon GmbH,Business consulting services,Germany,['NTT'],"Daniel Kubein, Head of Operations and Performance, O.phon GmbH",https://www.genesys.com/customer-stories/o-phon/
Western Sydney University,Education,Australia,['Nexon Asia Pacific'],"Scott Snyder, Chief Information and Digital Officer, Western Sydney University",https://www.genesys.com/customer-stories/western-sydney-university/
Hexaware,IT/Business process outsourcer,India,,"Kalpesh Gandhi, VP of OCX Service Delivery, Hexaware",https://www.genesys.com/customer-stories/hexaware/
Unisys,IT services,US,"['Microsoft', 'Google Cloud', 'ServiceNow']","Aron Meyer, Solution Architect, Digital Workplace Solutions, Unisys",https://www.genesys.com/customer-stories/unisys/
Bolsa de Valores de Colombia (bvc),Financial,Colombia,,"Diego Galindo Hernández, Director of Customer Service, bvc",https://www.genesys.com/customer-stories/bolsa-de-valores-de-colombia/
Metergy Solutions,Utilities,Canada,,"Maudrie Smith, Director of Customer Care Operations, Metergy Solutions",https://www.genesys.com/customer-stories/metergy/
Somerset Council,Local government,UK,"['Kerv', 'Amazon Web Services']","Sharon Passmore, Service Manager, Customer Services, Somerset Council",https://www.genesys.com/customer-stories/somerset-council/
Dolfi1920,Aviation,Poland,,"Tal Fridman, Operations and Business Development Director Europe, Dolfi1920",https://www.genesys.com/customer-stories/dolfi1920/
Tokopedia,Ecommerce,Indonesia,,"Rudy Dalimunthe, Senior Vice President of Customer Excellence, Tokopedia",https://www.genesys.com/customer-stories/tokopedia/
Xerox,Workplace technology,US,,"Naresh Shanker, CTO, Xerox",https://www.genesys.com/customer-stories/xerox/
Countdown New Zealand,Retail,New Zealand,,"Steve James, Head of Technology, Countdown New Zealand",https://www.genesys.com/customer-stories/countdown-new-zealand/
QBE,Insurance,Australia and global,['Daisee'],"Scott Paterson, Global Unified Comms and Collaborating Manager, QBE",https://www.genesys.com/customer-stories/qbe/
Banco Solidario,Financial services,Ecuador,"['Seteinfo', 'Aivo (AgentBot)']","Damián Cruz, Digital Channel Consultant, Banco Solidario",https://www.genesys.com/customer-stories/banco-solidario/
Carglass®,Vehicle glass repair and replacement,Germany,,"Brice-Willys Tebiro, Innovation and Improvement Manager, Carglass Germany",https://www.genesys.com/customer-stories/carglass/
Lowell Norway,Financial services,Norway,['Advania'],"Carl-Petter Udvang, Product Manager, Lowell Norway",https://www.genesys.com/customer-stories/lowell-norway/
Schneider Electric,Energy,France and more than 100 countries globally,,"Irina Zubova, Vice President, Digital Sales and Customer Support Enablement, Schneider Electric",https://www.genesys.com/customer-stories/schneider-electric/
Rainmaker,Business process outsourcer,Finland and Spain,,"Henri Forss, Sales and Development Director, Rainmaker",https://www.genesys.com/customer-stories/rainmaker/
,,,,,https://www.genesys.com/customer-stories/optimind-winter/
Pihlajalinna,Healthcare services,Finland,,"Sanna Sarvijärvi, Service Director, Pihlajalinna",https://www.genesys.com/customer-stories/pihlajalinna/
,,,,,https://www.genesys.com/customer-stories/bis-contact-center/
Universal Assistance,Traveler assistance services,Latin America,['In Motion'],"Raffaele Loiacono, Latin America CIO, Universal Assistance",https://www.genesys.com/customer-stories/universal-assistance/
Fibrus Networks,Telecommunications,Northern Ireland and UK,['Kerv Experience'],"Stephen Riley, Head of Customer Service Operations, Fibrus Networks",https://www.genesys.com/customer-stories/fibrus-networks/
,,,,,https://www.genesys.com/customer-stories/mybudget/
The University of Texas Rio Grande Valley,Higher education,US,,"Dr. Vanessa Maldonado, Director of Student Service Centers, UTRGV",https://www.genesys.com/customer-stories/the-university-of-texas-rio-grande-valley/
Xiaomi Corporation,Consumer electronics and hardware,China,,"Wang Chuanpeng, International Services Product Director, Xiaomi Corporation",https://www.genesys.com/customer-stories/xiaomi-corporation/
,,,,,https://www.genesys.com/customer-stories/al-romansiah/
Quicken,Financial services,United States,,"Ian Roberts, Operations Leader, Quicken",https://www.genesys.com/customer-stories/quicken/
Probe Group,Business process outsourcing,"Australia, New Zealand and the Philippines",,"Rohan Khanna, CTO, Probe Group",https://www.genesys.com/customer-stories/probe-group/
Tokio Marine Management Australasia,Travel insurance,Australia,,"Aaron Roche, Travel Manager, Operations, Tokio Marine Management Australasia",https://www.genesys.com/customer-stories/tokio-marine-management-australasia/
Digicall Assist,Automotive,Australia,['Synergy Enterprise Solutions'],"Rebecca Goss, Contact Center Operations Manager, Digicall Assist",https://www.genesys.com/customer-stories/digicall-assist/
HELPLINE,IT services,France,,"Lionel Florence, Director Users Digital Journeys, HELPLINE",https://www.genesys.com/customer-stories/helpline/
,,,,,https://www.genesys.com/customer-stories/gaitame-com/
Etraveli Group,Travel and tourism,Sweden,"['GlobalConnect', 'Amelia', 'Scorebuddy', 'Shelf']","Gurpreet Sawhney, WFM Director, Etraveli Group",https://www.genesys.com/customer-stories/etraveli/
Sicredi,Financial services,Brazil,['Mutant'],"Camilo Calligaro, Telecommunication Services Analyst, Sicredi",https://www.genesys.com/customer-stories/sicredi/
