,company_name,industry,location,partners,person_quoted,product_url,region,Person Name,Role in Company
82,Nexon Asia Pacific,IT and services,Australia,,"Malcolm Green, Senior Contact Center Engineer, Nexon",https://www.genesys.com/customer-stories/nexon-asia-pacific/,APAC,Malcolm Green, Senior Contact Center Engineer
83,Service NSW,Government,Australia,,"Sue Ferguson, Director of Contact Centers, Service NSW",https://www.genesys.com/customer-stories/service-nsw/,APAC,Sue Ferguson, Director of Contact Centers
84,,,,,,https://www.genesys.com/customer-stories/diabetes-victoria/,APAC,,
85,,,,,,https://www.genesys.com/customer-stories/vivonet/,,,
86,FirstCare,Human Resource management,UK,,"John Coyne, Head of IT, Data and Compliance, FirstCare",https://www.genesys.com/customer-stories/firstcare/,EMEA,John Coyne, Head of IT
87,Lighthouse Works,Business process outsourcing,US,,"Kyle Johnson, President and Chief Executive Officer, Lighthouse Works",https://www.genesys.com/customer-stories/lighthouse-works/,,Kyle Johnson, President and Chief Executive Officer
88,Housing Direct,Local government,Australia,['Datacom'],"Tracy Thompson, Manager, Housing Direct",https://www.genesys.com/customer-stories/housing-direct/,APAC,Tracy Thompson, Manager
89,,,,,,https://www.genesys.com/customer-stories/optimind-winter/,EMEA,,
90,,,,,,https://www.genesys.com/customer-stories/rose-hulman-institute-of-technology-askrose-homework-help/,,,
91,Telefoonaanname.nl,Business process outsourcing,Netherlands,,"Edwin Smit, Co-founder and Owner, Telefoonaanname.nl",https://www.genesys.com/customer-stories/telefoonaanname-nl/,EMEA,Edwin Smit, Co-founder and Owner
92,Lyreco,Retail,"France, with global operations",,"Nelson Oliveira, Product Owner, Customer Care, Lyreco",https://www.genesys.com/customer-stories/lyreco-group/,EMEA,Nelson Oliveira, Product Owner
93,Electrolux Group,Manufacturing and retail,Sweden and global,['Google Cloud'],"Mateusz Jazdzewski, Head of IT Consumer Solutions and Head of CX Product at Electrolux Group, Electrolux Group",https://www.genesys.com/customer-stories/electrolux-group/,EMEA,Mateusz Jazdzewski, Head of IT Consumer Solutions and Head of CX Product at Electrolux Group
94,Spark,Telecommunications,New Zealand,,"James Palmer-Dale, Chapter Lead of Customer Engagement Solutions, Spark",https://www.genesys.com/customer-stories/spark/,APAC,James Palmer-Dale, Chapter Lead of Customer Engagement Solutions
95,Tokio Marine Management Australasia,Travel insurance,Australia,,"Aaron Roche, Travel Manager, Operations, Tokio Marine Management Australasia",https://www.genesys.com/customer-stories/tokio-marine-management-australasia/,APAC,Aaron Roche, Travel Manager
96,Field Management Ireland,Business process outsourcer,Ireland,,"Rosemary Wynne, Digital Marketing Director, Field Management Ireland",https://www.genesys.com/customer-stories/field-management-ireland/,EMEA,Rosemary Wynne, Digital Marketing Director
97,ACEA,Utilities,Italy,,"Ivan Vigolo, Group Chief Innovation & Information Officer, ACEA",https://www.genesys.com/customer-stories/acea/,EMEA,Ivan Vigolo, Group Chief Innovation & Information Officer
98,Benify,HR technology,Sweden and global operations,['Salesforce'],"Philip Hagenfeldt, Commercial System Lead, Benify",https://www.genesys.com/customer-stories/benify/,EMEA,Philip Hagenfeldt, Commercial System Lead
99,Etraveli Group,Travel and tourism,Sweden,"['GlobalConnect', 'Amelia', 'Scorebuddy', 'Shelf']","Gurpreet Sawhney, WFM Director, Etraveli Group",https://www.genesys.com/customer-stories/etraveli/,EMEA,Gurpreet Sawhney, WFM Director
100,Banco Solidario,Financial services,Ecuador,"['Seteinfo', 'Aivo (AgentBot)']","Damián Cruz, Digital Channel Consultant, Banco Solidario",https://www.genesys.com/customer-stories/banco-solidario/,LATAM,Damián Cruz, Digital Channel Consultant
101,Fanatics,Retail,US with global operations,,"Nigel Ponds, Senior Director, Global Resource Planning and Telephony , Fanatics, Inc.",https://www.genesys.com/customer-stories/fanatics/,,Nigel Ponds, Senior Director
102,HELPLINE,IT services,France,,"Lionel Florence, Director Users Digital Journeys, HELPLINE",https://www.genesys.com/customer-stories/helpline/,EMEA,Lionel Florence, Director Users Digital Journeys
103,,,,,,https://www.genesys.com/customer-stories/nahdi-medical-company/,EMEA,,
104,,,,,,https://www.genesys.com/customer-stories/ignite-travel-group/,APAC,,
105,Bankaya,Financial services,Mexico,['Crossnet'],"Adrian Soria, Collections Manager, Bankaya",https://www.genesys.com/customer-stories/bankaya/,LATAM,Adrian Soria, Collections Manager
106,CallPageboy,Business process outsourcer,Ireland,,"Ken Colley, Managing Director, CallPageboy",https://www.genesys.com/customer-stories/callpageboy/,EMEA,Ken Colley, Managing Director
107,Anglicare Sydney,Non-profit,Australia,"['QPC', 'Call Journey']","Roy Hazelwood, Contact Center Manager, Anglicare Sydney",https://www.genesys.com/customer-stories/anglicare-sydney/,APAC,Roy Hazelwood, Contact Center Manager
108,Fremtind Service,Government (Transportation),Norway,,"Richard Vogt, Operations Manager, Fremtind Service",https://www.genesys.com/customer-stories/fremtind-service/,EMEA,Richard Vogt, Operations Manager
109,SV Gruppe,Media and digital services,Germany,['infinit.cx'],"Manuela Lüdke, Managing Director, SV Dialog GmbH & Co. KG",https://www.genesys.com/customer-stories/sv-gruppe/,EMEA,Manuela Lüdke, Managing Director
110,B&O Service,Housing,Germany,['Deliberate'],"Christoph Otto, Head of IT Infrastructure and Service, B&O Service",https://www.genesys.com/customer-stories/bo-service/,EMEA,Christoph Otto, Head of IT Infrastructure and Service
111,Ethiopian Airlines,Aviation and travel,Ethiopia,,"Getinet Tadesse, CIO, Ethiopian Airlines",https://www.genesys.com/customer-stories/ethiopian-airlines/,EMEA,Getinet Tadesse, CIO
112,Cegid,SaaS solutions,"France, with global operations",,"Thierry Galvagni, CIO, Cegid",https://www.genesys.com/customer-stories/cegid/,EMEA,Thierry Galvagni, CIO
113,Modivcare,Healthcare,US,['Amazon Web Services'],"Heath Sampson, President & CEO, Modivcare",https://www.genesys.com/customer-stories/modivcare/,,Heath Sampson, President & CEO
114,Unisys,IT services,US,"['Microsoft', 'Google Cloud', 'ServiceNow']","Aron Meyer, Solution Architect, Digital Workplace Solutions, Unisys",https://www.genesys.com/customer-stories/unisys/,,Aron Meyer, Solution Architect
115,Digicall Assist,Automotive,Australia,['Synergy Enterprise Solutions'],"Rebecca Goss, Contact Center Operations Manager, Digicall Assist",https://www.genesys.com/customer-stories/digicall-assist/,APAC,Rebecca Goss, Contact Center Operations Manager
116,Carglass®,Vehicle glass repair and replacement,Germany,,"Brice-Willys Tebiro, Innovation and Improvement Manager, Carglass Germany",https://www.genesys.com/customer-stories/carglass/,EMEA,Brice-Willys Tebiro, Innovation and Improvement Manager
117,BAC,Financial services,Central America,['ESMT'],"Cinthya Moreno Gómez, Service Channels Corporate Director, BAC",https://www.genesys.com/customer-stories/bac/,LATAM,Cinthya Moreno Gómez, Service Channels Corporate Director
118,,,,,,https://www.genesys.com/customer-stories/bis-contact-center/,LATAM,,
119,Alight Solutions,IT services,US,,"Robin Vallango, Vice President, Customer Care Technology, Alight Solutions",https://www.genesys.com/customer-stories/alight-solutions/,,Robin Vallango, Vice President
120,Bedfordshire Pilgrim Housing Association (BPHA),Housing provider and developer,UK,['Email Wizard'],"Lianne Martindale, Communications Center Manager, BPHA",https://www.genesys.com/customer-stories/bpha/,EMEA,Lianne Martindale, Communications Center Manager
121,Universal Assistance,Traveler assistance services,Latin America,['In Motion'],"Raffaele Loiacono, Latin America CIO, Universal Assistance",https://www.genesys.com/customer-stories/universal-assistance/,LATAM,Raffaele Loiacono, Latin America CIO
122,Narayana Health,Healthcare,India,"['Tata Communications', 'Salesforce']","Kumar KV, Group Chief Information Officer, Narayana Health",https://www.genesys.com/customer-stories/narayana-health/,APAC,Kumar KV, Group Chief Information Officer
123,Blibli,eCommerce,Indonesia,,"Shanty Cantya, Vice President of Customer Management, Blibli",https://www.genesys.com/customer-stories/blibli/,APAC,Shanty Cantya, Vice President of Customer Management
124,City of Clearwater (Utility Customer Service Division),Government,US,,"Amy Sessions, Customer Service Division Manager, City of Clearwater",https://www.genesys.com/customer-stories/city-of-clearwater/,,Amy Sessions, Customer Service Division Manager
125,CarGarantie Courtage SARL,Insurance broker and service provider,France,['Deliberate'],"Christoph Schuler, Head of Operations, CarGarantie Courtage SARL",https://www.genesys.com/customer-stories/cargarantie/,EMEA,Christoph Schuler, Head of Operations
126,Round Room,Retail,US,,"Ryan Ervin, Senior Director, Customers for Life, TCC Round Room",https://www.genesys.com/customer-stories/round-room/,,Ryan Ervin, Senior Director
127,Fibrus Networks,Telecommunications,Northern Ireland and UK,['Kerv Experience'],"Stephen Riley, Head of Customer Service Operations, Fibrus Networks",https://www.genesys.com/customer-stories/fibrus-networks/,EMEA,Stephen Riley, Head of Customer Service Operations
128,Somerset Council,Local government,UK,"['Kerv', 'Amazon Web Services']","Sharon Passmore, Service Manager, Customer Services, Somerset Council",https://www.genesys.com/customer-stories/somerset-council/,EMEA,Sharon Passmore, Service Manager
129,"Edenred Brazil — Ticket Log, Repom and Edenred Pay brands",Payment services,Brazil,"['Alctel', 'IBM']","Jéssica Mallach, Continual Improvement Coordinator, Ticket Log",https://www.genesys.com/customer-stories/edenred-brazil/,LATAM,Jéssica Mallach, Continual Improvement Coordinator
130,,Insurance,Australia,"['Telstra', 'CVT']","Sheridan Francis, Manager, Regional Operations Center, Aioi Nissay Dowa Insurance Company Australia",https://www.genesys.com/customer-stories/aioi-nissay-dowa-insurance/,APAC,Sheridan Francis, Manager
131,,,,,,https://www.genesys.com/customer-stories/kiwi-com/,EMEA,,
132,,,,,,https://www.genesys.com/customer-stories/gaitame-com/,APAC,,
133,Localsearch,Digital marketing,Australia,,"Gary Mandelkow, Chief Technology Officer, Localsearch",https://www.genesys.com/customer-stories/localsearch/,APAC,Gary Mandelkow, Chief Technology Officer
134,Hexaware,IT/Business process outsourcer,India,,"Kalpesh Gandhi, VP of OCX Service Delivery, Hexaware",https://www.genesys.com/customer-stories/hexaware/,APAC,Kalpesh Gandhi, VP of OCX Service Delivery
135,Countdown New Zealand,Retail,New Zealand,,"Steve James, Head of Technology, Countdown New Zealand",https://www.genesys.com/customer-stories/countdown-new-zealand/,APAC,Steve James, Head of Technology
136,Arvato CRM Solutions,Customer Services and Business Process Outsourcing,UK,['Kerv'],"Gordon Dalgleish, Head of IT Solutions, Arvato CRM Solutions",https://www.genesys.com/customer-stories/arvato/,EMEA,Gordon Dalgleish, Head of IT Solutions
137,Prvidr,Software,Australia,,"Lawrence Drayton, Head of Customer Experience, Prvidr",https://www.genesys.com/customer-stories/prvidr/,APAC,Lawrence Drayton, Head of Customer Experience
138,Eesti Energia (also known as Enefit),Energy,"Estonia, Latvia, Lithuania, Poland and Finland",['Adventus Solutions'],"Kaido Kabral, Customer Service Solution Expert, Eesti Energia",https://www.genesys.com/customer-stories/eesti-energia/,EMEA,Kaido Kabral, Customer Service Solution Expert
139,Maxicare,Healthcare,Philippines,,"Christian Argos, CEO, Maxicare",https://www.genesys.com/customer-stories/maxicare/,APAC,Christian Argos, CEO
140,BetFlag,Online gambling,Italy,['TechneValue'],"Domenico Galizia, CEO, BetFlag",https://www.genesys.com/customer-stories/betflag/,EMEA,Domenico Galizia, CEO
141,3 Denmark,Telecommunications,Denmark,['Advania'],"Jonas Kristensen, Business Optimisation Manager, 3 Denmark",https://www.genesys.com/customer-stories/3-denmark/,EMEA,Jonas Kristensen, Business Optimisation Manager
142,BancoEstado,Financial services,Chile,,"Luis Chávez Tuesta, Head of Software and Product Development, BancoEstado",https://www.genesys.com/customer-stories/bancoestado/,LATAM,Luis Chávez Tuesta, Head of Software and Product Development
143,Multilaser,Manufacturing and retail,Brazil,['Survey Dynamix'],"Leonardo Castilho, Head eCommerce, After-sales and Digital Marketing, Multilaser",https://www.genesys.com/customer-stories/multilaser/,LATAM,Leonardo Castilho, Head eCommerce
144,eco24,Debt consulting,Germany,['Deliberate'],"Hans-Jörg Fadda, Managing Director, eco24",https://www.genesys.com/customer-stories/eco24/,EMEA,Hans-Jörg Fadda, Managing Director
145,Maximus,Business process outsourcer,US with global operations,['Amazon Web Services'],"Angela Kovach, Vice President of Cloud Technology, Maximus",https://www.genesys.com/customer-stories/maximus/,,Angela Kovach, Vice President of Cloud Technology
146,Beyond Bank,Financial services,Australia,['QPC'],"Brent Alexander, National Manager, Customer Relationship Center, Beyond Bank",https://www.genesys.com/customer-stories/beyond-bank/,APAC,Brent Alexander, National Manager
147,O.phon GmbH,Business consulting services,Germany,['NTT'],"Daniel Kubein, Head of Operations and Performance, O.phon GmbH",https://www.genesys.com/customer-stories/o-phon/,EMEA,Daniel Kubein, Head of Operations and Performance
148,Dolfi1920,Aviation,Poland,,"Tal Fridman, Operations and Business Development Director Europe, Dolfi1920",https://www.genesys.com/customer-stories/dolfi1920/,EMEA,Tal Fridman, Operations and Business Development Director Europe
149,Grupo Sabin,Healthcare,Brazil,['InvenIT'],"Neilton Alves, Project Analyst, Grupo Sabin",https://www.genesys.com/customer-stories/grupo-sabin/,LATAM,Neilton Alves, Project Analyst
150,Inter,Financial Services,Brazil,,"João Marcus Santos, IT Manager, Inter",https://www.genesys.com/customer-stories/inter/,LATAM,João Marcus Santos, IT Manager
151,Odity,Customer relations,Global,,"Clément Polet, Deputy CEO Business, Odity",https://www.genesys.com/customer-stories/odity/,EMEA,Clément Polet, Deputy CEO Business
152,Digital Dialog GmbH,Contact center services,Germany,['VR Voice'],"Corinna Kaussen, Authorized Signatory, Digital Dialog GmbH",https://www.genesys.com/customer-stories/digital-dialog/,EMEA,Corinna Kaussen, Authorized Signatory
153,Company Nurse,Healthcare,US,['Brightmetrics'],"Henry Svendblad, CTO, Company Nurse",https://www.genesys.com/customer-stories/company-nurse/,,Henry Svendblad, CTO
154,APM,Human resources,Australia,['Customer Driven'],"Michael McBride, General Manager, Customer Service Center, APM",https://www.genesys.com/customer-stories/apm/,APAC,Michael McBride, General Manager
155,,,,,,https://www.genesys.com/customer-stories/rapid-financial-solutions/,,,
156,Brighton & Hove Albion Football Club,Sports and entertainment,UK,['Kerv'],"Brian Kearney, Digital Systems Project Manager, Brighton & Hove Albion Football Club",https://www.genesys.com/customer-stories/brighton-and-hove-albion-football-club/,EMEA,Brian Kearney, Digital Systems Project Manager
157,Universidad Tecnologica de México (UNITEC),Education,Mexico,,"Leandro Cruz Hernández, Digital Director and Customer Experience, UNITEC",https://www.genesys.com/customer-stories/unitec/,LATAM,Leandro Cruz Hernández, Digital Director and Customer Experience
158,Rainmaker,Business process outsourcer,Finland and Spain,,"Henri Forss, Sales and Development Director, Rainmaker",https://www.genesys.com/customer-stories/rainmaker/,EMEA,Henri Forss, Sales and Development Director
159,The University of Texas Rio Grande Valley,Higher education,US,,"Dr. Vanessa Maldonado, Director of Student Service Centers, UTRGV",https://www.genesys.com/customer-stories/the-university-of-texas-rio-grande-valley/,,Dr. Vanessa Maldonado, Director of Student Service Centers
160,Metergy Solutions,Utilities,Canada,,"Maudrie Smith, Director of Customer Care Operations, Metergy Solutions",https://www.genesys.com/customer-stories/metergy/,,Maudrie Smith, Director of Customer Care Operations
161,Farmers Mutual Group (FMG),Insurance,New Zealand,"['Avtex', 'Microsoft']","Matt Harvey, Head of National Advice and Service Center, FMG",https://www.genesys.com/customer-stories/farmers-mutual-group/,APAC,Matt Harvey, Head of National Advice and Service Center
162,Aeromexico,Airline,Mexico,"['Salesforce', 'Pureinsights', 'Kranon']","Angelina Griselda Stankiewicz Chávez, Senior Contact Center Manager, Aeromexico",https://www.genesys.com/customer-stories/aeromexico/,LATAM,Angelina Griselda Stankiewicz Chávez, Senior Contact Center Manager
163,TechStyleOS,Retail,US and global,['Amazon Web Services'],"Jack Roberts, Director, GMS Technology and Applications , TechStyleOS",https://www.genesys.com/customer-stories/techstyleos/,,Jack Roberts, Director
164,Etraveli Group,Travel and tourism,Sweden,"['GlobalConnect', 'Amelia', 'Scorebuddy', 'Shelf']","Gurpreet Sawhney, WFM Director, Etraveli Group",https://www.genesys.com/customer-stories/etraveli/,EMEA,Gurpreet Sawhney, WFM Director
